Transporter,Address,Numbers,Contact Person
RAHUL CARGO PACKERS & MOVERS,"307- himalaya plaza- block-fg- 3rd floor- opp. fci- delhi road- dankuni- hooghly , kolkata","Contact No : 9330117065, 9824173618, 32494449, 79, 25626023, 25624052,",Contact Person : vinay kumar
AR TRANSPORT AGENCY,"no.4�black burn lane�chittaranjan avenue- kolkata -700012 , kolkata","Contact No : 9830323470, 9681234750, 033 , 22250139,",Contact Person : rahman
JAGANNATH TRANSPORT CORPN.,"himalaya plaza- block-b- 2nd floor- dankuni- hooghly , kolkata","Contact No : 9330096090, 9330006723, 32919896,",Contact Person : navin sharma
REAL LOGISTICS PVT. LTD.,"1-b- black burn lane- 3rd floor- kolkata , kolkata","Contact No : 9830139218, 9433003876, 30226647,",Contact Person : navin sharma
CARGOALLINE LOGIX,"43- sovabazar street- 2nd floor- shobha bazar- kolkata , kolkata","Contact No : 9432014410, 33, 25308449,",Contact Person : chandan kumar
SAHARA PACKERS & MOVERS PVT. LTD.,"149- ashok gargh- near dunlop- kolkata , kolkata","Contact No : 9331799333, ,",Contact Person : deepak sinha
PR PACKERS & MOVERS,"16- mondal temple lane- new alipore- kolkata , kolkata","Contact No : 9007010800, 9903641342, ,",Contact Person : NULL
PUJA CARGO PACKERS AND MOVERS,"12 no. pwd road 1st floor - dunlop- kolkata , kolkata","Contact No : 9804341960, 9339880491, 03325106058, 9339880490",Contact Person : bipin kumar verma
CHETAN LOGISTICS PVT. LTD.,"43- diamond harbour road- kolkata , kolkata","Contact No : 9830950056, 24497438, 24492021,",Contact Person : NULL
CHARTERED LOGISTICS LTD,"161- mahatama gandhi road- ist floor eastern plaza- kolkata , kolkata","Contact No : 9332107088, 9883307088, 033, 32607336,",Contact Person : suresh baid
SYNDOT PACKERS & MOVERS,"44- ram swaroop khetri road- new alipur- burtolla bus stop- kolkata , kolkata","Contact No : 9331230557, 9836030808, ,",Contact Person : rajanikant
AIRTA LOGISTICS P. LTD.,"1a- raja subodh mullick square- kolkata , kolkata","Contact No : 9830020245, 22364725, 39282600,",Contact Person : ashok
COASTAL ROADWAYS LTD,"4- black burn lane- kolkata , kolkata","Contact No : 9830022247, 22376094, 22379715, 32596264,",Contact Person : NULL
PPLOGISTICS,"j-8 zonal center durgapur , kolkata","Contact No : 9378459913, , 9378459913",Contact Person : gopal selwal
EVERLITE CARRIERS & DISTRIBUTOR LTD.,"56-c- mandal street- kolkata , kolkata","Contact No : 9830160726, 22594731, 22595685,",Contact Person : NULL
YASH PACKERS & MOVERS,"8/2- pwd road- ashok garh post office dunlop- kolkata , kolkata","Contact No : 9330880490, 9339250214, 9339250218, 32016615,",Contact Person : bipin kumar
PROFESSIONAL PACKERS & MOVERS PVT. LTD.,"156/26- bt road- dunlop- kolkata , kolkata","Contact No : 9903677999, 9331522536, 9831919193, 32532536,",Contact Person : vinod kumar
N.S CARGO MOVERS,"40- burtolla street ist floor , kolkata","Contact No : 8981268000, 9903470021, 8981268000",Contact Person : nitin gupta
GLOBE ROADWAYS PVT. LTD.,"17- tarachand dutta street- kolkata , kolkata","Contact No : , 22689975, 22702443,",Contact Person : NULL
BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LTD.,"164/1- mani square- premises no.41- 6th floor-�manicktala main road-�kankurgachi-�kolkata -700054 , kolkata","Contact No : , 033, 30212900, 30212901,",Contact Person : NULL
JYOTI PACKERS & MOVERS,"170/45- lake garden- kolkata , kolkata","Contact No : 9831145014, 9831100936, 24175476,",Contact Person : vijay iyer
ASHOKE TRANSPORT ORGANISATION,"1b- blackburn burn lane , kolkata","Contact No : 9831514027, 03322374126,",Contact Person : jayant singhal
CENTURY GLOBAL LOGISTICS PVT. LTD.,"10- pharse lane- kolkata , kolkata","Contact No : 9330862893, 033, 22361813, 32991033,",Contact Person : vijender sharma
SURYA TRANSPORT (P) LTD.,"87- beason street- kolkata , kolkata","Contact No : , 22591167, 22594964,",Contact Person : NULL
PREMIER TRANSPIRT LTD,"2c- abhindan bldg- 27ab royd street- kolkata , kolkata","Contact No : 9331258817, , 9331258817",Contact Person : ashok yadav
EFFICIENT LOGISTICS CO.,"himalaya plaza- block-a- 2nd floor- opp. fci dankuni- hooghly , kolkata","Contact No : 9331739917, 9433568932, 26593051, 32418897,",Contact Person : sham sher ali
CRYSTAL LOGISTICS (COOL CHAIN) P. LTD.,"121- cr avenue- kolkata , kolkata","Contact No : 9831167771, 22354249, 22354746,",Contact Person : NULL
JAI MAA KALI PACKERS & MOVERS,"himalaya plaza- block-c- 3rd floor- dankuni- hooghly , kolkata","Contact No : 9836810761, 9331117553, 9331117554, 9339727552, ,",Contact Person : sonu kaushik
NEPAL BHUTAN ROADWAYS P. LTD.,"4-a- satyam 46d- rafi ahmed kidwai road- kolkata , kolkata","Contact No : 9830863725, 22292998, 22294334, 22294334,",Contact Person : NULL
NIKITA LOGISTIC,"27- weston street- 7th floor- room no.702- , kolkata","Contact No : 9883394630, 03340634192, 9883394630",Contact Person : aditya vikram agarwal
GB TRANSPORT (I) PVT. LTD.,"p-15- india exchange place extn. todi mansion- 10th floor- kolkata , kolkata","Contact No : , 22363750, 32971624,",Contact Person : NULL
BHAGWATI ROADLINES PVT. LTD.,"ram bhawan builiding- gr. floor- dankuni hooghly , kolkata","Contact No : 9331601090, 9836428607, ,",Contact Person : tapas kundu
JYOTI TRANS CARRIER PVT. LTD.,"5- jadulal mullick road- kolkata , kolkata","Contact No : 9331018745, 22596043, 32955402,",Contact Person : NULL
SHREE CARRYING CO. P. LTD.,"7- tarachand dutta street- ist floor kolkata , kolkata","Contact No : , 22688123, 32618123,",Contact Person : NULL
ARSHIYA LOGISTICS,"no.102b�harish mukherjee road�bhowanipur- kolkata -700025 , kolkata","Contact No : 9958210330, 033 , 24191465, 033 , 24191466, 124, 4645118, 4645216, 4645381, 4645000,",Contact Person : NULL
PARAMOUNT CARGO CARRIERS,"1-b- black burn lane- 5th floor- kolkatta , kolkata","Contact No : 9903860062, 22368642,",Contact Person : r p sharma
OTS LOGISTICS PVT. LTD.,"p-15- india exchange- todi mension- 10th floor- kolkata , kolkata","Contact No : , 22363750, 32971624, 64995657,",Contact Person : babu lal
AXIS CAR CARRIER,"himalaya plaza- block-c- r.no.304- 3rd floor- dankuni- hooghly , kolkata","Contact No : 9831998921, 9331131177, 32013546, 32561177,",Contact Person : mahipal singh
REACH CARGO MOVERS P. LTD.,"30- jadunath- dey road- 5th floor- kolkata , kolkata","Contact No : , 22121036, 22123151,",Contact Person : NULL
CARGO EXPRESS SERVICES (P) LTD.,"4a- ganpat bagla road- (opp. tara sundari park)- kolkata , kolkata","Contact No : 9433051917, 9433086254, 22592077, 22592526,",Contact Person :
CITY PACKERS & MOVERS,"46- canal west road- shyambazar- kolkata , kolkata","Contact No : 9433402847, 25434643,",Contact Person : ranjeet singh
DLF HOME PACKERS & MOVERS,"39- tara chand dutt street- nr. moonlight cinema- kolkata , kolkata","Contact No : 9331063229, 9339538050, ,",Contact Person : suresh sharma
ROADLINES INDIA P. LTD.,"2- jawaharlal nehru road- 2nd floor- room no.10- kolkata , kolkata","Contact No : 9330815076, 22281478,",Contact Person : NULL
SAFE & SECURE LOGISTICS P. LTD.,"47-a- zakaria street- kolkata , kolkata","Contact No : 9339855513, 22355513,",Contact Person : manoj sharma
CARRY CO PVT. LTD.,"26 & 29- zakaria street- kolkata , kolkata","Contact No : 9330627022, ,",Contact Person : NULL
ALOK TRANSPORT PVT. LTD.,"balaji bhawan- 51- vivekanand road- 4th floor room 401-402- near giris park- kolkata , kolkata","Contact No : 9331009293, 9331113882, 22595046, 50, 2259957,",Contact Person :
RAMAN ROADWAYS,"room no. 139 first floor-161 m g road kolkata-7 , kolkata","Contact No : 9332107088, ,",Contact Person : suresh baid
USI LOGISTICS PVT. LTD.,"32- diamond harbour road- 2nd floor- near ajanta cinema- behala- kolkata , kolkata","Contact No : 9903873193, 9903873192, 033, 23971975,",Contact Person :
AHMEDABAD ROADLINES PVT. LTD.,"fg-304- 3rd floor- himalaya plaza- dankuni- hooghly , kolkata","Contact No : 9330158170, 9883655486, 32216265,",Contact Person : dharmender sharma
SM CARRIERS PVT. LTD.,"402- sagar trade cube- 104- sp mukherjee road- 4th floor- kolkata , kolkata","Contact No : , 24862125, 24862153, 24862154,",Contact Person : susbash jain
REALIABLE ROADWINGS PVT. LTD.,"28- black burn lane- kolkata , kolkata","Contact No : 9331031582, 22362507, 22378282, 32590116,",Contact Person : krishan
INNOVATIVE B2B LOGISITICS SOLUTION LTD.,"11- cossipoer road- ist floor- appartment-207- kolkata , kolkata","Contact No : 9007002448, 65001021, 65001022, 65001023, 24,",Contact Person : pravin sharma
BALAJI FREIGHT & SHIPPING CO.,"12- matri mandir lane- pwd road- gr. floor- opp. icici bank- kolkata , kolkata","Contact No : 9883916555, 9051962840, ,",Contact Person : rajesh gupta
LS QUICK PACKERS & MOVERS,"51a- sarder sankar road- kolkata , kolkata","Contact No : , 24648542,",Contact Person : NULL
VICKY ROADWAYS PVT. LTD.,"himalaya plaza block-c- 3rd floor- dankuni hooghly , kolkata","Contact No : 9331742777, 9331142777, ,",Contact Person : jagdeep choudhary
SUKLA TRANSPORT CO. (P) LTD.,"54a- kali krishna tagore st. kolkata , kolkata","Contact No : , 22596015,",Contact Person : NULL
ACIAD LOGISTIC CO.,"a-31- lack view park- bon hooghly- kolkata , kolkata","Contact No : 9831065454, 9007162254, 033, 31925455,",Contact Person : mr sharma
RUPALI PACKERS & MOVERS,"himalaya plaza- 2nd floor block-de- delhi road- dankuni- hooghly , kolkata","Contact No : 9836658176, 9163915463, ,",Contact Person : avijit manjundar
MERCUIO PALLIA LOGISTICS P. LTD.,"201-a- himalaya plaza- 2nd floor- block c- opp. fci delhi road- dankuni- distt. hooghly , kolkata","Contact No : 9831111013, 9831291401, ,",Contact Person : pintu sharma
JAIN HOULERS ROADWAYS PVT. LTD.,"207- md road 3rd floor- room no.72- kolkata , kolkata","Contact No : 9831992010, 9831699005, 22592010, 22591010,",Contact Person : ajit kumar jain
RKTC MOVERS (INDIA) PVT. LTD.,"28 ptr siding shalimar coal depot- shidpur- howrah , kolkata","Contact No : 9830054785, 9331018277, 26784595,",Contact Person : pintu tiwari
TCI HI-WAYS LTD.,"7- tarachand dutta street- 6c- 6th floor- kolkata , kolkata","Contact No : 9330132610, 40661342,",Contact Person : pyarelal
NAGALAND TRANSPORT CO-OP. SOCIETY LTD.,"159- rabindra sarani- 4th floor- kolkata , kolkata","Contact No : 9433025269, 9836612345, 22707265,",Contact Person :
NGT FREIGHT CARREIRS P. LTD.,"13/4- syed sally lane- ist floor kolkata , kolkata","Contact No : , 22693501, 22698149, 22939758, 9,",Contact Person : NULL
SUPER SONIC CARRIER (P) LTD.,"p-9- new cit road- 3rd floor- kolkata , kolkata","Contact No : , 22375298, 22360584, 22360395,",Contact Person : NULL
CHETNA LOGISTICS P. LTD.,"32- ezra street- north block- 8th floor- suite no.863- kolkata , kolkata","Contact No : 9433016005, 22356900, 22353381, 22353381,",Contact Person : NULL
BLUE BIRD PACKERS & MOVERS,"161- rabindra sarani- 2nd floor- r.no.209- kolkata , kolkata","Contact No : 9331000962, 9330271591, 32579246,",Contact Person : ak gupta
KBR TRANSPORT PVT LTD,"216 - 2 lal bazar street- , kolkata","Contact No : 9331013256, 03322310365,",Contact Person : kamal agarwal
MEDI CARRIER PVT LTD,"bp -3- salt lake , kolkata","Contact No : 9831098422, 03340398000,",Contact Person : manish rathi
PANDEY FREIGHT CARRIERS PVT. LTD.,"13- ptr siding road- shalimar- shibpur- howrah , kolkata","Contact No : 9830321696, 9831222522, 9830388819, 26784871,",Contact Person :
GLOBUS LOGISYS PVT LTD,"25 strand road marshal house 6th floor room no 669 , kolkata","Contact No : 9331023029, 9433568612, 03322313696,",Contact Person : r b giri ( ravi )
SKY BLUE TRANSPORTATION,"39a harighoshstreet , kolkata","Contact No : 8777877393, , 8777877393",Contact Person : dibakar
AIRTA LOGISTICS PRIVATE LIMITED,"1a raja subodh mullick square , kolkata","Contact No : 9830020245, 22375919,",Contact Person : ashok kumar hawelia
KOLKATA BENAPOLE ROADLINES PVT. LTD.,"206- himalaya plaza- 2nd- floor (opp. fci)- delhi road- dankuni- distt. hooghly , kolkata","Contact No : 9331989696, 9874309398, 9874539274, ,",Contact Person : manna
PRECIOUS CARRYING CORP. LTD,"128- m g road , kolkata","Contact No : 9830221306, ,",Contact Person : s. k. joshi
PTRAANS LOGISTICS (INDIA) P. LTD.,"25- swallow lane- ist floor- kolkata , kolkata","Contact No : 9433042973, 22623164, 22623165,",Contact Person : subhash khandelwal
BLR LOGISITIKS (I) LTD.,"39a- square lane- ist floor- behind girish park- kolkata , kolkata","Contact No : 9330383999, 9331425707, 9331425702, 32588816,",Contact Person : mukesh sharma
ASIAN RELOCATION LOGISTICS CO.,"no.48 samsul huda road�circus avenue- kolkata -700017 , kolkata","Contact No : 9903808100, 9903349945, ,",Contact Person : sahabudin khan
NARESH ROADLINES PVT. LTD.,"68/20- strand bank road- kolkata , kolkata","Contact No : 9339580954, 9339735236, 22593572, 22599822,",Contact Person :
EAST COAST CARRIERS PVT. LTD.,"p-15- india extn.- 4th floor- kolkata , kolkata","Contact No : 9903004629, 22373741, 22378879, 22363649,",Contact Person : NULL
MEGHDIPA LOGISTICS PVT. LTD.,"40-a- hide road- jain kunj- kolkata , kolkata","Contact No : 9831068862, 9433037204, 24391744,",Contact Person :
INDIAN AIR CARGO,"22- phers lane�bow bazar- kolkata -700012 , kolkata","Contact No : 9330012718, 9830140094, 033 , 22348997, 033 , 22348998,",Contact Person : dinu goyal
AGARWAL PACKERS & MOVERS,"drs dilip roadlines pvt. ltd.- 23a- 661a- tallyguj circular road- o block- new alipur- kolkata , kolkata","Contact No : 9830027488, 24988963 to 65,",Contact Person : NULL
AMBAREEN ROADLINES,"no.bf-134�sector-1�salt lake city- kolkata -700064 , kolkata","Contact No : 9650275726, 9903375697, 033 , 23374591,",Contact Person : mr. indrajit roy
MEDI ASSIST INDIA PVT. LTD.,"53a- 1st floor-�eliot road bata more-�rafi ahmed kidwai road (near park street)-�rafi ahmed kidwai road-�kolkata - 700016 , kolkata","Contact No : , 033, 39835717, 39835703, 39835705, 39835707,",Contact Person : NULL
RAHUL CARGO PACKERS & MOVERS,"307- himalaya plaza- block-fg- 3rd floor- opp. fci- delhi road- dankuni- hooghly , kolkata","Contact No : 9330117065, 9824173618, 32494449, 79, 25626023, 25624052,",Contact Person : vinay kumar
JAI MATA DI TRANSPORT SERVICE P. LTD.,"13c- kashi nath mullick lane- 2nd floor- kolkata , kolkata","Contact No : 9831951884, ,",Contact Person : NULL
M/S. GREATWAYS TRANSPORT (PRIVATE) LIMITED,"33a tarachand dutta street , kolkata","Contact No : 9830119511, 40075509,",Contact Person : vineet garg
GOODWILL TRANSPORT P. LTD.,"51- vivekanand road- 4th floor- near girish park- kolkata , kolkata","Contact No : , 22591824, 25, 22591747, 22591748, 22591783,",Contact Person : NULL
SRI BALAJI TRANSWAYS P. LTD.,"94- phears lane- 4th floor- kolkata , kolkata","Contact No : , 22250548, 22251020, 32442001,",Contact Person : NULL
KARNATAKA ROADLINES PVT. LTD.,"41a- tarachand dutta street- opp. moon light cinema- kolkata , kolkata","Contact No : 9339818065, 9339732594, 22708958,",Contact Person : raj kumar
DEEPAK PACKERS & MOVER,"p-16- new cit road- 4th floor- kolkata , kolkata","Contact No : 9331018758, 32911835, 32911865,",Contact Person : sk choudhary
GO INDIA PACKERS AND MOVERS,"18 f padma pukur road p.o.-regent estate p.s.-netaji nagar , kolkata","Contact No : 7278494048, ,",Contact Person : rajib naskar
BAJAJ PARIVAHAN P. LTD.,"p-3- new cti road- 4th floor- kolkata , kolkata","Contact No : , 22252746, 32973115,",Contact Person : NULL
CENTRAL ARYA ROAD TRANSPORT (UNIT OF CART INFRALOG LIMITED),"1c- ballygunge circular road. tivoli court- block - b- 12th floor , kolkata","Contact No : 9831055557, 03330904250,",Contact Person : banwari lal sharma
