Transporter,Address,Numbers,Contact Person
ASIAN FREIGHT,"no.2�ganesh chandra avenue�dharmatala- kolkata -700013 , kolkata","Contact No : 9874596091, 033 , 22132752,",Contact Person : samir
RELOGISTICS WB P. LTD.,"60a- jawahar lal nehru road 3rd floor- kolkata , kolkata","Contact No : , 22830506,",Contact Person : NULL
PREMIER GLOBAL LOGISTICS LTD.,"2-c- abhinandan- 27-a&b- royal street- 2nd floor- kolkata , kolkata","Contact No : , 40205555,",Contact Person : NULL
INTERSTATE OIL CARRIERS CO. (P) LTD.,"poddar point- 113- park street- south wing- kolkata , kolkata","Contact No : , 22298853, 22290588, 22290769, 22297824,",Contact Person : NULL
JET EXPRESS (CARGO COURIERS) PVT. LTD.,"40- babu bagan lane- dhakuria- kolkata , kolkata","Contact No : 9330464901, 24436268, 24836386, 24834508,",Contact Person : pradip shah
GLOBUS LOGISYS PVT LTD,"25 strand road marshal house 6th floor room no 669 , kolkata","Contact No : 9331023029, 9433568612, 03322313696,",Contact Person : r b giri ( ravi )
MAA ANNAPURNA TPT. AGENCY LTD.,"hi tech chambers- 5th floor- topsia road- kolkata , kolkata","Contact No : 9331273508, 9331182144, 9331282144, 31909717,",Contact Person : surender sharma
BASAL ROAD CARRIERS,"21-pathuria ghat street , kolkata","Contact No : 9339042608, 8820884368, 8820884368",Contact Person : mithoo saraf
SONU LOGISTICS,"205- himalaya plaza- 2nd floor- delhi road- dankuni- hooghly , kolkata","Contact No : 9331208110, 32211101,",Contact Person : NULL
THE INTERNATIONAL PACKERS CO.,"1- outram street- kollkata , kolkata","Contact No : , 22475292,",Contact Person : NULL
BHARAT CARRIERS LTD.,"ganpati chambers- 2nd floor- cr avenue- kolkata , kolkata","Contact No : , 22199935, 32974290,",Contact Person : NULL
SRC LOGISTICS P. LTD.,"p-8- new cit road- 2nd floor- tiretta bazar- kolkata , kolkata","Contact No : 9903347891, 22364307, 22367624, 22216221,",Contact Person : NULL
GOYAL'S CENTRAL GOODS TRANSPORT (P) LTD.,"p-1- new cit road- kolkata , kolkata","Contact No : , 22376457, 22376458,",Contact Person : NULL
NORTH BENGAL STATE TRANSPORT CORPORATION,"bidhan nagar road- ultadanga main road- kolkata -700067 , kolkata","Contact No : , 033 , 23561967,",Contact Person : NULL
ARUN ROADWINGS P. LTD.,"134/4- mahatma gandhi road- (3rd floor room no.308) kolkata , kolkata","Contact No : , 22721355, 22702492,",Contact Person : NULL
JAI DURGA TRANSPORT CO.,"40c- chittaranjan avenue- 2nd floor- kolkota , kolkata","Contact No : 9830926507, 22121018, 1781, 1324,",Contact Person : NULL
AV HOME CARGO MOVERS,"himalaya plaza- r.no.210- 2nd floor- delhi road- dankuni- hooghly , kolkata","Contact No : 9874369077, 9038535134, 9331208110, 32211101,",Contact Person : bhawani singh
SREE HARI OM PACKERS & MOVERS,"208/1- ashokgarh- dunlop- kolkata , kolkata","Contact No : 9339068984, 9831078178, 32562871,",Contact Person : santosh gupta
SURAT GOODS TRPT. P. LTD.,"26- shakespear sarani- dimple court- 2nd floor- kolkata , kolkata","Contact No : , 22808755, 22808550, 22817334,",Contact Person : NULL
SOUTHERN LORRY SERVICE (P) LTD.,"p-8- new cit road- 2nd floor- kolkata , kolkata","Contact No : , 22364307, 22367624, 22216227,",Contact Person : NULL
SUPER SPEED CARRIER P. LTD.,"2- roop chand roy street- 3rd floor- room no.309- kolkata , kolkata","Contact No : 9830276002, 22701163, 32476907,",Contact Person : mahendra agarwal
DAYAL ROADWAYS P. LTD.,"35- jagat banerjee ghat road- sibpur shalimar- howrah , kolkata","Contact No : 9831810052, 9831820052, 26786396,",Contact Person :
SUPER SPEED CARRIERS PVT LTD,"2 rup chand roy street , kolkata","Contact No : 9831031252, 22712366,",Contact Person : bharat agarwal
GLOBE ECOLOGISTICS PVT. LTD,"45/b adya sradhya ghat road3rd floor- room no.- 34-opposite indian oversease bank- , kolkata","Contact No : 9330109727, 033, 32017040,",Contact Person : mahesh kumar gupta
TRANSOLUTIONS PVT. LTD.,"bhangurmath samabaya palli- balli- bamun danga- howrah , kolkata","Contact No : 9339747932, 9332010572, 9330013742, ,",Contact Person : ranjit bhattacharya
KALI TRANAPORT PVT. LTD.,"33/1- ns road 835- marshall house- kolkata , kolkata","Contact No : , 22311022,",Contact Person : NULL
KUBER SINGH TRANSPORT,"kali krishna tagore street�barabazar ho- kolkata -700007 , kolkata","Contact No : , 033 , 22597676,",Contact Person : swapan kumar saha
ROADLINES CORPN. PVT. LTD.,"cf-216- salt lake city sec-1- kolkata , kolkata","Contact No : , 23582520, 23582519,",Contact Person : bk paul
RAPID ROADLINES OF INDIA PVT. LTD.,"21-a- dutta lane- 4th floor- thirhatti kolkata , kolkata","Contact No : , 22364124, 22219319,",Contact Person : NULL
TRANSKING CARRIERS PVT. LTD.,"6- ramlochan mullick street- ist floor- kolkata , kolkata","Contact No : 9831034912, 8013031959, 22709953,",Contact Person :
GO INDIA PACKERS AND MOVERS,"18 f padma pukur road p.o.-regent estate p.s.-netaji nagar , kolkata","Contact No : 7278494048, , 7278494048",Contact Person : rajib naskar
EAST INDIA PARIVAHAN PVT. LTD.,"av market complex- 1- shambhu mullick lane- kolkata , kolkata","Contact No : 9831304447, 22684130, 22687791,",Contact Person : NULL
VRL PACKERS & LOGISTICS,"a-31- 1st floor lake view park bon hooghly , kolkata","Contact No : 9062666668, 03360506668,",Contact Person : d.k.thakur
RELIANCE ROADWAYS,"17- phears lane- gr. floor- kolkata , kolkata","Contact No : 9831032980, 9831276981, 22348523,",Contact Person : ram kishore
MULTI MODES TRANSPORT P. LTD.,"135-a- cr avenue r.no.24- 3rd floor- kolkata , kolkata","Contact No : 9331096667, 32949106,",Contact Person : op yadav
PUJA CARGO PACKERS AND MOVERS,"12 no. pwd road 1st floor - dunlop- kolkata , kolkata","Contact No : 9804341960, 9339880491, 03325106058, 9339880490",Contact Person : bipin kumar verma
SAVITA LOGISTICS,"8/5 dr.h k chatterjee lane- belurmath howrah , kolkata","Contact No : 9163216785, , 9163216785",Contact Person : brijmohan mittal
TRIVENI PARIVAHAN P. LTD.,"29-a- rabindra sarani- 3rd floor- room no.11- kollkata , kolkata","Contact No : , 033, 30408673,",Contact Person : NULL
PREMIER TRANSPIRT LTD,"2c- abhindan bldg- 27ab royd street- kolkata , kolkata","Contact No : 9331258817, , 9331258817",Contact Person : ashok yadav
JAI EXPRESS P. LTD.,"4- raja woodnut street- kolkata , kolkata","Contact No : 9830052087, 22433526, 22434967,",Contact Person : NULL
GAURAV RAJ CARRIERS PVT. LTD.,"42- kali krishna tagore st. kolkata , kolkata","Contact No : 9830068470, 22593822, 22596214,",Contact Person : NULL
AGARWAL SHIFTING SOLUTION PVT .LTD.,"plot no.388v- upen banjara road- behala parnasree- kolkata- pin code-700060 , kolkata","Contact No : 9960015001, ,",Contact Person : pradeep kumar
STEELCO LOGISTICS PVT. LTD.,"23-a- neta ji subhash road 2nd floor- room no.12- kolkata , kolkata","Contact No : 9831025243, 30223964, 22104289,",Contact Person : NULL
MAA LOGISTICS,"73 bangur avenue , kolkata","Contact No : 9836033108, 9831180001, 9830180019, ,",Contact Person : prakash baid
NIDHI CAR CARRIERS,"himalaya plaza- block-de- 2nd floor-delhi road- dankuni- hooghly , kolkata","Contact No : 9903166247, 9330266247, 32966247,",Contact Person : brajesh singh
RAHI LOGISTICS SERVICE,"67/28-strand road-kolkata , kolkata","Contact No : 9614402667, , 9614402667",Contact Person : indronil pramanik
EAST COAST CARRIERS,"11- khairu place- 3rd floor- room no-3 , kolkata","Contact No : 09433024473, 03340621008,",Contact Person : rakesh / pitamber singhania
RM PACKERS & MOVERS LOGISTICS,"3- syed sally street- kolkata , kolkata","Contact No : 9331043070, 22341828,",Contact Person : rajesh
PARAMOUNT CARGO CARRIERS,"1-b- black burn lane- 5th floor- kolkatta , kolkata","Contact No : 9903860062, 22368642,",Contact Person : r p sharma
CTA LOGISTICS LTD.,"crescent tower- 5th floor- 229- ajc boss road- kolkata , kolkata","Contact No : , 22873255, 22873256,",Contact Person : NULL
PRAKASH ROADLINES CORPN. LTD.,"p-3- new cit road- 3rd floor- kolkata , kolkata","Contact No : 9830365251, 22259140, 22259142,",Contact Person : NULL
AGARWAL PACKERS & MOVERS LTD.,"245/a- block j- new alipore- opp. state bank of india- kolkata , kolkata","Contact No : 9874333007, 60015001, 44474447,",Contact Person : cp sharma
VENATESH LOGISTICS P. LTD.,"9- ajc road- 3rd floor- kolkata , kolkata","Contact No : 9830314074, 33, 40648050, 40648063,",Contact Person : bikash jaiswal
AXIS CAR CARRIERS,"himalaya plaza- block-c- r.no.304- 3rd floor- dankuni- hooghly , kolkata","Contact No : 9831998921, 9331131177, 32013546, 32561177,",Contact Person : mahipal singh
ORISSA BENGAL CARRIERS LTD.,"27- weston street- room no.702- ist floor- kolkata , kolkata","Contact No : 9333443088, 40031194, 32476887,",Contact Person : maharaj
AUTO SALES AGENCIES PVT. LTD.,"126- chittaranjan avenue- kolkata , kolkata","Contact No : 9830767275, 2241849, 4566, 22192570, 2571,",Contact Person : deoki nandan bajaj
SER TRANSPORT PVT. LTD.,"80/1b- phears lane- kolkata , kolkata","Contact No : 9830020740, 22376909, 22252091,",Contact Person : NULL
KOLKATA ASSAM ROADLINES PVT LTD,"131- c.r.avenue , kolkata","Contact No : 9681400945, 22683699,",Contact Person : vishal jain
THE AMRITSAR TRPT. CO. LTD.,"134- mahatma gandhi road- delhi ist floor- kolkata , kolkata","Contact No : 9331053922, 22683764, 22683598,",Contact Person : NULL
JAJODIA ROADLINES P. LTD.,"3- sayed salley street- 4th floor- kolkata , kolkata","Contact No : 9836910080, 22356837,",Contact Person : surendra sharma
ULTIMO LOGISTICS P. LTD.,"10- govt- place (east) 14- ezra mansion- 2nd floor- kolkata , kolkata","Contact No : , 22420687, 22480056, 30123910,",Contact Person : surender
CAR CHASSIS CARRIERS,"18- muktaram babu street- 2nd floor- kolkata , kolkata","Contact No : 9830876760, 9830176760, 22186492, 22697212,",Contact Person : NULL
TRANSEXPRESS LOGISTICS INDIA PVT LTD,"19/1a. ray street , kolkata","Contact No : 03324850725, 03324850726,",Contact Person : mr.rajesh rastogi
ANIL PACKERS & MOVERS,"5- pwd road- near ashok garh po kolkata , kolkata","Contact No : 9331917470, 033, 26374273,",Contact Person : NULL
ADHUNIK FREIGHT CARRIERS PVT.LTD,"p2-new c.i.t road 3rd floor , kolkata","Contact No : 9331021315, 033, 22215048,",Contact Person : h.k.sharma
SHIVAM TRANS RELOCATION,"211- block-b- 2nd floor- delhi road- dankuni- hooghly , kolkata","Contact No : 7439153829, 9007337111, 32919896,",Contact Person : mahendra kumar
RAJASTHAN HARYANA ROADLINES,"himalaya plaza- block-c- 3rd floor- dankuni- hooghly , kolkata","Contact No : 9339727552, 9331127552, 9331117554, 9836810761, ,",Contact Person : naresh kaushik
HEMENT CARGO INTERNATIONAL P. LTD.,"40c- chittaranjan avenue- 2nd floor- kolkata , kolkata","Contact No : 9830926507, 9830026507, 22121081, 1781, 1324, 32571542,",Contact Person :
HAQUE LOGISTICS PVT. LTD.,"16- dasu babu bagan- kamarhati- kolkata , kolkata","Contact No : 9903904386, 033, 25235591,",Contact Person : asraful haque
AMRITSAR TRPT. CO. (P) LTD.,"134/1 mahatma gandhi road- ist floor- kolkata , kolkata","Contact No : 9331053922, 22683764, 22683598,",Contact Person : NULL
HI-SPEED LOGISTICS PVT. LTD.,"55/1b- strand road- 4th floor- suit-5- near aloo posta- kolkata , kolkata","Contact No : 9007011707, 9332083610, 9331921251, 32009096,",Contact Person :
MS FREIGHT CARRIERS PVT. LTD.,"47a- zakaria street kolkata , kolkata","Contact No : , 22352140,",Contact Person : NULL
TIRUPATI LOGISTICS PVT. LTD.,"crecent tower- 229- ajc bose road- 5th floor- kolkata , kolkata","Contact No : , 22873255, 22873256,",Contact Person : NULL
MAX LIFE INSURANCE COMPANY LTD.,"15a- continental chambers- 3rd floor-�opposite great eastern & near ubi-�hemanta basu sarani-�dalhousie-�kolkata - 700001 , kolkata","Contact No : , 18002005577, 033, 22425588,",Contact Person : NULL
SS GOODS MOVERS P. LTD.,"baman danga math- delhi road- ist floor- howrah , kolkata","Contact No : 9830450484, 9810288602, 26719184,",Contact Person :
TRANSPORT WINGS (CAL) P. LTD.,"10- phears lane- 2nd floor- kolkata , kolkata","Contact No : 9331037146, 32420301,",Contact Person : gc saha
CULCUTTA JAIPUR PARIVAHAN (P) LTD.,"4-a ganpat bagla road- (opp. tara sundari park)- kolkata , kolkata","Contact No : 9433051917, 9433086254, 22592077, 22592526,",Contact Person :
LEE HOME PACKERS & MOVERS,"157- ravindra nagar- gr. floor- near bkc- college- kolkata , kolkata","Contact No : 9903873121, ,",Contact Person : rajesh sharma
SUPREME TRANSPORT,"chetla road�alipore ho- kolkata -700027 , kolkata","Contact No : , 033 , 24795125, 9006747971",Contact Person : rk agarwal
KERALA ROADWAYS PVT. LTD.,"24/a/26- rabindra sarani- tirhati bazar street- gr. floor- kolkata , kolkata","Contact No : 9831155999, 22361605, 22253587,",Contact Person : NULL
ORIENT CARGO MOVERS P. LTD.,"jain center association- 34a- metcalf street- room no.g-12a- kolkata , kolkata","Contact No : 9830030993, 9331595576, ,",Contact Person : manoj kr. singh
ARSHIYA LOGISTICS,"no.102b�harish mukherjee road�bhowanipur- kolkata -700025 , kolkata","Contact No : 9958210330, 033 , 24191465, 033 , 24191466, 124, 4645118, 4645216, 4645381, 4645000,",Contact Person : NULL
MOVE INDIA PACKERS MOVERS,"b.t. road , kolkata","Contact No : 8961003001, ,",Contact Person : ashok kumar
HIGHWAY ROADLINES P. LTD.,"shani niketan building 8- carmac street- 12th floor- kolkata , kolkata","Contact No : 9831151268, 22825784, 22825849,",Contact Person : NULL
COLD CHAIN CONCEPT,"p- 51- bangur avenue- block a-kolkata - 700055- west bengal- india , kolkata","Contact No : 9830437261, 033, 40066959,",Contact Person : mr. s. n. ray �(manager)
JET ROADLINES (INDIA) P. LTD.,"p-2- new cit road- room no.204- 2nd floor- kolkata , kolkata","Contact No : 9339734342, 033, 32604342, 033, 22368289,",Contact Person : cs dass
CROWN TRANSPORT P. LTD.,"19- rn mukherjee road 3rd- floor kolkata , kolkata","Contact No : , 22310801, 22310802, 3, 4,",Contact Person : NULL
MANOHAR ROADLINES P. LTD.,"8- tara chand dutt street- 2nd floor- near krishna kolkata , kolkata","Contact No : 9830054339, ,",Contact Person : mahesh
TPH LOGISTICS P. LTD.,"81/1- phears lane- kolkata , kolkata","Contact No : 9831147005, 9681039750, 65402077,",Contact Person : tk singh
AWAGAMAN ROAD CARRIER LTD.,"tabacco house- 1- old court house corner- 5th floor- room no.501- kolkata , kolkata","Contact No : 9681025082, 9339796331, 22420821, 22420822,",Contact Person :
KBR TRANSPORT P. LTD.,"room no.216- 2nd floor- todi chamber-2- lal bazar street- kolkata , kolkata","Contact No : 9331013256, 22310365, 32580695,",Contact Person : kamal agarwal
NITCO LOGISTICS P. LTD.,"30- phears lane- tarahati area- kolkata , kolkata","Contact No : , 2237578, 4415, 22347848, 22219759,",Contact Person : NULL
PRAKASH ROADLINES P. LTD.,"31- pk tagore street- kolkata , kolkata","Contact No : 9331041968, 22590303, 22592961,",Contact Person : NULL
NEW GOODWILL TRANSPORT CO.,"himalaya plaza- block-a- 2nd floor- opp. fci godown- dankuni- hooghly , kolkata","Contact No : 9831191803, 9331191803, 26596463, 6591255,",Contact Person : bishnu mahato
ROADWING INTERNATIONAL P. LTD.,"shanti niketan building 8- carmac street- 12th floor- kolkata , kolkata","Contact No : 9831151268, 22825784, 22825849,",Contact Person : NULL
JAI AMBEY CARGO MOVERS P. LTD.,"1b- ramlochan mullick street- ist floor- r.no.108- kolkata , kolkata","Contact No : 9331018999, 9038927372, 22709973, 22709974,",Contact Person : dipak agarwal
AGARWAL LOGISTICS P. LTD.,"191- cr avenue- 3rd floor- kolkata , kolkata","Contact No : 9830094103, 9433068320, 22739628, 22701100,",Contact Person :
CALCUTTA AHMEDABAD ROADLINES PVT. LTD.,"13/3- syed sally lane- kolkata , kolkata","Contact No : 9330212085, 32542128,",Contact Person : NULL
MOHIT LOGISTICS PVT. LTD.,"31a- tara chand dutta street- 4th floor- above axis bank- kolkata , kolkata","Contact No : 9831050711, 22729268, 22729269,",Contact Person : NULL
CHAUDHARY CRANES PVT. LTD.,"no.2�khetra das lane�bow bazar- kolkata -700012 , kolkata","Contact No : 9831410732, 033 , 22116063,",Contact Person : NULL
BRITISH AIRWAYS WORLD CARGO,"room no.5�international cargo terminal�dum dum- kolkata -700052 , kolkata","Contact No : , 033 , 25118529, 033 , 25118533, 033 , 25118536,",Contact Person : NULL
KAVITA TRANSPORT CORPN.,"74- bartala street- 3rd floor- kolkata , kolkata","Contact No : 9830090587, 9038913242, 22690723, 30602892,",Contact Person : us choudhary
KAISER PACKERS PVT. LTD,"156/57- northeren park- bt road- dunlop- kolkata , kolkata","Contact No : 9007011982, 9007011983, ,",Contact Person : shiv kumar
AMI INDIA LOGISTICS PVT. LTD.,"no.4- 4th floor- room no.4n diamond chambers�chowringhee road- kolkata -700016 , kolkata","Contact No : , 033 , 22521942, 033 , 40036107,",Contact Person : ritu mukherjee datta
RAJDOOT ROADWAYS,"no.41a tarachand dutta street- tiretta bazar�chittaranjan avenue- kolkata -700073 , kolkata","Contact No : 9830054511, 033 , 22180301, 033 , 40075148,",Contact Person : s kaloya
INDIAN PACKERS ORGANIZATION,"90 phears lane , kolkata","Contact No : 09088855500, 9038028023, 9088855500",Contact Person : ankit gupta
NATIONAL ROADWAYS,"no.26/4�armenian street�bara bazar- kolkata -700001 , kolkata","Contact No : 9331018670, 033 , 22693285,",Contact Person : vk agarwal
SAFE LOGISTICS,"3d-�panchanantala road-�gariahat-�kolkata - 700029 , kolkata","Contact No : , 033, 66039042,",Contact Person : NULL
FREIGHTCO INDIA LIMITED,"50- jawarharlal nehru road- 8th floor- kolkata , kolkata","Contact No : , 30481305, 30481306, 07, 08, 09,",Contact Person : NULL
TIME LOGISTICS LTD.,"6th floor- r.no.110/207- md road- kolkata , kolkata","Contact No : 9331742292, 32608505, 64592663,",Contact Person : ballabh bhatter
PRAKASH PARCEL SERVICES LTD.,"13/1- syed sally lane- kolkata , kolkata","Contact No : 9331824777, 033, 22688707,",Contact Person : sanjiv kumar singh
DEEPAK TRANSPORT CO.,"115- white tower- ground floor- room no.4-�nr. bowbazar crossing-�college street-�kolkata - 700012 , kolkata","Contact No : 9831123055, 9331028249, 033, 22375855, 22375836, 31028249,",Contact Person :
ASSAM KERALA ROADWAYS PVT. LTD.,"27- weston street- 5th floor- rm-503- kolkata , kolkata","Contact No : , 22115429, 22116270, 22116271,",Contact Person : NULL
UTKARSH C & F SERVICES PVT. LTD.,"2nd floor- room no.202- 8-�canning street-�strand road-�kolkata - 700001 , kolkata","Contact No : , 033, 66341663,",Contact Person : NULL
KERALA ROADWAYS PVT. LTD,"24a 26 rabindra sarani , kolkata","Contact No : 9831155999, 03322377087,",Contact Person : s.m.mansoor
BASAL ROAD CARRIERS,"21-pathuria ghat street , kolkata","Contact No : 9339042608, 8820884368, 8820884368",Contact Person : mithoo saraf
BLUE BIRD CARGO PVT. LTD.,"no.10�wood street�circus avenue- kolkata -700016 , kolkata","Contact No : 9331101166, 033 , 32961166, 033 , 32971166,",Contact Person : NULL
SHYAM CARGO CARRIERS,"117- block-b- himalaya plaza- dankuni- hooghly , kolkata","Contact No : 9339010777, 9800140062, ,",Contact Person : ak bhardwaj
SUAIN LOGISITICS PVT. LTD.,"ist floor- 21/1- canal street- lake town- kolkata , kolkata","Contact No : 9830710662, 033, 25342717, 25344110,",Contact Person : NULL
CRUZE ROADLINES PVT. LTD.,"2a- jadulal mullick road- kolkata , kolkata","Contact No : 9831129111, 22590147, 30684420,",Contact Person : chetan rungta
ASSOCIATED ROAD CARRIER LTD.,"27- weston street- 4th floor- kolkata , kolkata","Contact No : 9339870922, 22111545, 22118973, 40161530,",Contact Person : bk joshi
JAI BHARAT TRANSPORT AGENCY PVT. LTD.,"17- kashinath mullick lane- ist floor- kolkata , kolkata","Contact No : 9331830044, 22718074, 32586059,",Contact Person : vishnu sharma
MILAP ROADWAYS,"1- surti bagan street- tiretta bazar�chittaranjan avenue- kolkata -700073 , kolkata","Contact No : 9831089555, 033 , 22350687, 033 , 64561341,",Contact Person : chandan maity
DEEPAK TRANSPORT AGENCY LTD,"p-16- new cit road- kolkata , kolkata","Contact No : 9331018758, 32911835, 22374194,",Contact Person : NULL
BIKANER ASSAM ROADLINES (I) LTD.,"89- netaji subhash road- kolkata , kolkata","Contact No : 9332245148, 22431913,",Contact Person : tiwari
MEDI-DRIPS CARRIERS PVT. LTD.,"3a- aukland place- 8th floor- suit 8b- kolkata , kolkata","Contact No : , 30221838, 30221840,",Contact Person : NULL
ISPAT CARRIERS PVT. LTD.,"2- hariomhan ghosh road- gr. floor- kolkata , kolkata","Contact No : 9830031574, 24692321, 24696579, 24696354,",Contact Person : NULL
HARI OM FREIGHT CARRIERS P. LTD.,"17- ganesh chandra avenue- 6th floor- kolkata , kolkata","Contact No : 9331044422, 9831012355, 22159027, 40037322, 32597731,",Contact Person :
AB HOME PACKERS & MOVERS,"263- upen banerjee road- kolkata , kolkata","Contact No : 9830960118, 24012678, 24014453,",Contact Person : balvinder singh
SAINI CRANE SERVICE,"b15/h4- lock gate road�cossipore- kolkata -700002 , kolkata","Contact No : 9830020210, 9883088900, 033 , 25571289, 033 , 25465357,",Contact Person : charanjit singh
TRUE LOGISTICS PVT. LTD.,"41a- tarachand dutta street- 3rd floor- kolkata , kolkata","Contact No : 9830286555, 9674381555, 9836187555, ,",Contact Person : raj kumar goel
KHAITAN TRAILER & TRUCK TPT.,"132- mahatma gandhi road- kolkata , kolkata","Contact No : 9331041315, 9433097611, 9903036697, 22698831, 30967051,",Contact Person : khem ji
TODI BULK CARRIERS P. LTD.,"fortunu chambers- 6 lyons range- mezzanine floor- room no. m-32- kolkata , kolkata","Contact No : , 22429936, 22429623,",Contact Person : NULL
MAA DURGA TRANSPORT,"himalaya plaza- ist floor- opp. fci godown- delhi road- dankuni- hooghly , kolkata","Contact No : 9903289299, 9883826074, ,",Contact Person : bk sinha
LEO EXPRESS PVT. LTD.,"33/1- ns road 406- marashall house- 4th floor- kolkata , kolkata","Contact No : , 22313696, 22313697, 22313698,",Contact Person : NULL
CPMC RELOCATION & LOGISTICS P. LTD.,"140- karya road- gr. floor- kolkata , kolkata","Contact No : 9830696227, 22802230, 22874008,",Contact Person : alam
ROAD KINGS PVT. LTD.,"28- black burn lane- kolkata , kolkata","Contact No : 9830885960, 22372365, 22378568, 22364706,",Contact Person : hc sharma
ABC INDIA LTD,"p 10 new cit road kolkata , kolkata","Contact No : 9330168529, 03322376491,",Contact Person : p k choudhary
SHAKTI ROADLINES PVT. LTD.,"p-2- new cit road- 3rd floor- kolkata , kolkata","Contact No : , 22377818, 22373988, 25571564,",Contact Person : NULL
JAMUNA TRANSPORT CORPN. LTD.,"11- pollock street- ist floor- kolkata , kolkata","Contact No : , 22352212, 22352213,",Contact Person : NULL
DSG CARRIERS PVT. LTD.,"71- metcalf street- suit-303- 3rd floor- kolkata , kolkata","Contact No : 9831022905, 22116124,",Contact Person : amrik singh
SUNRISE PARIVAHAN PVT. LTD.,"65a- pathuria ghat street- gr. floor- kolkata , kolkata","Contact No : 9433022371, 9831158195, 033, 2530026, 2530062,",Contact Person : jagat singh
ARIHANT CARGO CARRIERS PVT LTD,"57 diamond harbour road , kolkata","Contact No : 9163318361, 03324492121,",Contact Person : amit ghosh
ASKA ROADWAYS PVT. LTD.,"subham level-2- 1- rawdon street- kolkata , kolkata","Contact No : , 22803103, 22803104, 22803105, 22831693, 4, 5,",Contact Person : NULL
RTO CARRIERS PVT. LTD.,"21a- sagar dutta lane- 3rd floor- kolkata , kolkata","Contact No : 9830090551, 22363283, 22256938, 22256939,",Contact Person : NULL
GOODWILL TRANSPORT CORPORATION,"51- 4th flr.-sri bala bhawani bhawan-�nr. girish park metro station-�vivekananda rd.-�burrabazar-�kolkata - 700007 , kolkata","Contact No : 9830030387, 9831232262, ,",Contact Person :
DURGA LOGISTICS,"cj-169- sec-2- salt lake- kolkata , kolkata","Contact No : 9330216015, 033, 23592418,",Contact Person : basant kumar baheti
GTC INDIA (PVT.) LTD.,"31- giri babu lane- 3rd floor kolkata , kolkata","Contact No : , 22370384, 22378473,",Contact Person : NULL
VISWANATH TRPT. CO. PVT. LTD.,"8/1c- diamond harbour road- kolkata , kolkata","Contact No : , 033, 30485161, 30485163, 30485165,",Contact Person : NULL
BHARATIYA ROAD TRANSPORT PVT. LTD.,"18- giri babu lane- 3rd floor- r.no.3d- kolkata , kolkata","Contact No : , 22361150, 51, 52, 53, 64563333, 6456888,",Contact Person : NULL
AMBE PACKERS & LOGISTICS,"141- bt road gopi sadan- room no.13- kolkata , kolkata","Contact No : 9831306955, 9331061510, ,",Contact Person : ajay shah
AMALGAMATED TRANSPORT (I) PVT. LTD.,"30/31- kalakar street- kolkata , kolkata","Contact No : , 22681827, 22680101, 22708640,",Contact Person : NULL
BHARTIYA ROADLINES (P) LTD.,"10/1- phears lane- kolkata , kolkata","Contact No : 9339581200, 22360411, 22361702,",Contact Person : NULL
AKASH PACKING & SHIPPING CO.,"22- ub colony- gr. floor- ashol gargh- kolkata , kolkata","Contact No : 9830625062, ,",Contact Person : mohan sharma
DSG CARRIERS PRIVATE LIMITED,"maitypara. aasha lata complex. dankuni. , kolkata","Contact No : 9831022905, 25296121,",Contact Person : amrik singh
MILAP ROADWAYS PVT. LTD.,"1- surti bengan street- kolkata , kolkata","Contact No : 9830731226, 22350678, 65480476,",Contact Person : chandan
MRINMAYA TRANDING & MOVERS P. LTD.,"206- center point- 21 old court house street- kolkata , kolkata","Contact No : , 30224587,",Contact Person : NULL
LEONORA EXPRESS LOGISTICS PVT. LTD,"c-6- lake view park- bonhooghly- kolkata- pincode-700017 , kolkata","Contact No : 9036411722, 18001021606,",Contact Person : NULL
EFC LOGISTICS INDIA (P) LTD.,"27- weston street- room no.310/404- kolkata , kolkata","Contact No : , 22110543, 22110544,",Contact Person : NULL
GREATWAYS TRANSPORT PVT. LTD.,"gr. floor kolkata , kolkata","Contact No : 983019522, 9830119511, 32972830, 22710590,",Contact Person :
PLANTERS AIRWAYS LTD.,"10- pollock street- 2nd floor- kolkata , kolkata","Contact No : 9830547413, 22355651, 22350694,",Contact Person : prasant k. dutta
GUPTA FREIGHT CARRIERS LTD.,"69- pathuria ghat street- kolkata , kolkata","Contact No : 9830231360, 22594136, 32934983,",Contact Person : NULL
KEJRIWAL INSURANCE & INVESTMENT CONSULTANT,"baranasi ghosh street- block-a- 3rd floor- girish park- chittaranjan avenue- kolkata - 700007 , kolkata","Contact No : 9831044195, ,",Contact Person : mr. ashok kumar kejriwal
EXPRESS ROADWAYS PVT. LTD.,"p-1- hide lane- 6th floor- kolkata , kolkata","Contact No : 9339080121, 9331796323, 22365619, 22365956,",Contact Person : ashok gupta
TATKAL CARGO LTD.,"128- mahatma gandhi road kolkata , kolkata","Contact No : 9331840541, 22729549, 22729548,",Contact Person : NULL
BOKARO CARRYING CORPORATION,"p-2-�kalakar street-�burrabazar-�kolkata - 700007 , kolkata","Contact No : , 033, 22749776,",Contact Person : NULL
GUPTA TRANSPORT SERVICES P. LTD.,"80/1b- phears lane- ist floor- kolkata , kolkata","Contact No : 9331152681, 9831352681, ,",Contact Person : ajay gupta
COMPACTUM PACKERS & MOVERS,"24- nandan road- bhowanipur- kolkata , kolkata","Contact No : , 24552052,",Contact Person : NULL
