Transporter,Address,Numbers,Contact Person
DHAN DHAN BABA BHAG DASS JI TRANSPORT CO.,"shop no.30- opp. mall mandi t.p. nagar , amritsar","Contact No : 9815021252, ,",Contact Person : NULL
PERFECT ROADLINES,"inside ghee mandi amritsar , amritsar","Contact No : , 2293503,",Contact Person : NULL
NORTH WEST ROADLINES PVT.LTD.,"batala road amritsar , amritsar","Contact No : 9501569986, ,",Contact Person : NULL
NEW RAJ TRANSPORT CORPORATION,"122- t.p.nagar amritsar , amritsar","Contact No : 9417394626, 5067626,",Contact Person : NULL
SIMRAN ROADLINES OF INDIA,"1/s- ghee mandi asr , amritsar","Contact No : 9888710014, 3291461,",Contact Person : NULL
NORTH EASTERN CARRYING CORPORATION LTD.,"necc house 36- transport nagar jahajgarh amritsar , amritsar","Contact No : 9417549295, 275936,",Contact Person : NULL
GLOBE TRANSPORT (PUNJAB),"ghee mandi amritsar , amritsar","Contact No : 9356655787, ,",Contact Person : NULL
KULLU SHIMLA GOODS TRANSPORT CO. (REGD.),"bazar bakarwala- inside sheranwala gate , amritsar","Contact No : , 2551685, 2551684, 5067926,",Contact Person :
EVERGREEN ROADWAYS CORPORTION,"bazar- bakarwana amritsar , amritsar","Contact No : 9356110686, 2705300,",Contact Person : NULL
THE DASHMESH FREIGHT CARRIERS,"akali phoola singh market asr , amritsar","Contact No : 9356001164, ,",Contact Person : NULL
CHMBA SIMLA ROADWAYS PVT.LTD.,"bazar bakarwana amritsar , amritsar","Contact No : , 2558820,",Contact Person : NULL
MAA ANNAPURNA TPT- AGENCY PVT.LTD.,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9356024115, ,",Contact Person : NULL
SRI SHYAM ROADLINES,"p.no.28- jahajgarh road asr , amritsar","Contact No : 9216280020, ,",Contact Person : NULL
MAHAJAN CARRIERS,"plot no.27- jai inder singh t.p. nagar amritsar , amritsar","Contact No : , 2580518, 3257122,",Contact Person :
EASTERN ROAD CARRIERS LTD.,"plot no.31- transport nagar amritsar , amritsar","Contact No : 9356780918, 2702318,",Contact Person : NULL
KUMAR GOODS TRANSPORT COMPANY,"shheed bhagat singh road amritsar , amritsar","Contact No : 9014466524, 2553026,",Contact Person : NULL
MAHARASHTRA FREIGHT CARRIERS PVT.LTD.,"29- transport nagar jahajgarh amritsar , amritsar","Contact No : , 2585517, 2700082,",Contact Person :
COMMERCIAL FREIGHT CARRIERS (INDIA) REGD.,"65- transport nagar amritsar , amritsar","Contact No : , 6539307,",Contact Person : NULL
SURJEET GOODS CARRIERS PVT.LTD.,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9872011932, ,",Contact Person : NULL
M.P. ROADLINES,"15- truck stand g.t. road asr , amritsar","Contact No : 9463248370, ,",Contact Person : NULL
MAHALAKSHMI TRANSPORT EAST & WEST,"inside mohan singh gate bazar bakarwana , amritsar","Contact No : , 2551684, 2551685,",Contact Person :
I.R.C. INDIA LTD.,"14- jai inder singh transport nagar amritsar , amritsar","Contact No : 9317568446, 2552630,",Contact Person : NULL
THE HIND RATTAN LOGISTICS,"inside sherewala gate amritsar , amritsar","Contact No : 9814444503, 2293503,",Contact Person : NULL
VISHWAHIND LOGISTICS LTD.,"transport nagar amritsar , amritsar","Contact No : , 5067977, 2552875,",Contact Person :
GREEN ROADWAYS(REGD.),"73- inside ghee mandi amritsar , amritsar","Contact No : , 2551636,",Contact Person : NULL
RAM GOODS TRANSPORT COMPANY,"s.no.45 near g.t. road transport nagar amritsar , amritsar","Contact No : , 5067425, 22, 40915555,",Contact Person : NULL
NEW BHARAT TRANSPORT ORGANISATION,"inside ghee mandi amritsar , amritsar","Contact No : , 2552612, 2555559,",Contact Person :
B.F.C. ROADLINES,"plot no.8- shaheed bhagat singh road amritsar , amritsar","Contact No : 9356028928, ,",Contact Person : NULL
KHERA TRANSPORT,"t.p. nagar jahajgarh amritsar , amritsar","Contact No : 9216107539, ,",Contact Person : NULL
BANSAL FREIGHT CARRIER,"564. bh. malwadi chilpundi- opp. jahajgarh , amritsar","Contact No : 9356060886, 5059467,",Contact Person : NULL
RAJESH GOODS CARRIERS,"manku market asr , amritsar","Contact No : 9357585540, ,",Contact Person : NULL
CHADDA MOTOR TRANSPORT CO.PVT.LTD.,"inside ghee mandi amritsar , amritsar","Contact No : , 2552773, 6572252,",Contact Person :
AMRITSAR TEMPO UNION (REGD.),"city center chowk asr , amritsar","Contact No : 9781995467, ,",Contact Person : NULL
DELHI PUNJAB GOODS CARRIERS PVT.LTD.,"ghee mandi amritsar , amritsar","Contact No : , 2541508, 3290566, 258113,",Contact Person :
CARAVAN ROADWAYS PUNJAB PVT.LTD.,"2638/2- near old imp trust kesari bagh amritsar , amritsar","Contact No : , 2552875, 5067977, 3258577,",Contact Person :
J.K. TRANSPORT CORPORATION,"bazar bakarwana s.b.s. road amritsar , amritsar","Contact No : , 2551245,",Contact Person : NULL
PATHANIA ROADLINES,"65- t.p. nagar jahajgarh opp. pataka market , amritsar","Contact No : 9356037305, 6539307,",Contact Person : NULL
POOJA ROAD LINES,"29- jai inder singh transport jahajgarh amritsar , amritsar","Contact No : , 2585517, 2700082,",Contact Person :
BOMBAY KASMIR ROAD CARRIERS,"transport nagar amritsar , amritsar","Contact No : 9216557333, 2583487,",Contact Person : NULL
JET ROADWAYS GOODS CARRIERS,"transport nagar amritsar , amritsar","Contact No : 9216521376, ,",Contact Person : NULL
