Transporter,Address,Numbers,Contact Person
CHARTED LOGISTICS LIMITED,"plot no.129 p.b. road kolhapur , kolhapur","Contact No : 9890103666, 2468933,",Contact Person : NULL
STAR HEALTH & ALLIED INSURANCE CO. LTD.,"no. 5- ist floor� new shahapuri- kolhapur -416004 , kolhapur","Contact No : 9823493969, 0231 , 6454080, 0231 , 6454082,",Contact Person : NULL
DEEPAK TRANSPORT AGENCY,"opp. kolhapur steel ltd. nagaon kolhapur , kolhapur","Contact No : 9370320853, 3207005, 8797794249",Contact Person : NULL
JAYRAJ TRANSPORT CO.,"s.p. markit gandhi nagar , kolhapur","Contact No : , ,",Contact Person : NULL
TIRMURTI CARGO MOVERS P.LTD.,"plot no.1413- nagaon road nagaon phata shiroli kolhapur , kolhapur","Contact No : , 2468159,",Contact Person : NULL
TAMILNADU MAHARASHTRA ROADWAYS,"no.292- p.b. road opp. sangali phata shiroli kolhapur , kolhapur","Contact No : 9766476000, 9371112723, ,",Contact Person :
BAKSHARAM ROADLINES,"opp. jhulelal market chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
BHORUKA LOGISTICS PVT.LTD.,"plot no.48/1- kmt- petrol pump opp. masjid pune banglore road shiroli kolhapur , kolhapur","Contact No : 9342715111, ,",Contact Person : NULL
ADARSH ROAD TRANSPORT CO.,"534- shahupur near vyper peth shahupiri , kolhapur","Contact No : 9371596034, ,",Contact Person : NULL
SHINDE TRANSPORT,"chinchwad road gandhinagar kolhapur , kolhapur","Contact No : 9860808759, 2612021,",Contact Person : NULL
MUZAWAR TRANSPORT,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9371118461, 3919194,",Contact Person : NULL
SAMARTH FREIGHT CARRIERS,"plot no.104- shahu market yard kolhapur , kolhapur","Contact No : 9371321944, 3206819,",Contact Person : NULL
AVDHUT TRANSPORT,"shiroli kolhapur , kolhapur","Contact No : 9371232238, 3205010,",Contact Person : NULL
JAIPUR GOLDEN TRANSPORT CO. P.LTD.,"teen batti char rasta ichalkaranji kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
MAHARASHTRA KARNATAKA ROADLINES (MKR),"pune , kolhapur","Contact No : , 3919186,",Contact Person : NULL
CHINTU TRANSPORT,"lst nagaon phata dr- babasheb ambedkar nagar , kolhapur","Contact No : 9422028081, ,",Contact Person : NULL
